"periode_data", "wilayah"                   , "no_registrasi", "jenis_halte" , "kode_barang" , "lokasi_alamat"                                                                                                                                                                                             , "lintang"   , "bujur"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400042" , "REGULER"     , "133010118004", "Jl. Rajawali Raya 2-4, RT.5/RW.11, Halim Perdana Kusumah, Kec. Makasar, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13610 (Depan RS AU)"                                                   , "-6.2564401", "106.8914752"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400043" , "TRANSJAKARTA", "133010118004", "Jl. Iskandar Muda RT.7/RW.8, Kelurahan Kebayoran Lama Selatan, Kecamatan Kebayoran Lama (Halte Kodam)"                                                                                                     , "-6.2545648", "106.7818677"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400044" , "TRANSJAKARTA", "133010135001", "Jl. DI. Panjaitan RT.2/RW.3, Cipinang Besar Utara, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13350 (Halte Busway Pedati Prumpung)"                                 , "-6.219961" , "106.8742271"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400045" , "REGULER"     , "133010118004", "Jl. Benyamin Suaeb, RW.5, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 (Halte Gambir Expo Pintu 3)"                                                               , "-6.1421856", "106.8482458"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400046" , "REGULER"     , "133010118004", "Jl. Benyamin Suaeb, RW.5, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 (Halte Gambir Expo Pintu 2)"                                                               , "-6.1454653", "106.8492133"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400047" , "TRANSJAKARTA", "133010135001", "Jl. Otto Iskandardinata RT.5/RW.12, Kp. Melayu, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13330 (Halte Busway Cawang Otista)"                                      , "-6.2436829", "106.868682"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400048" , "REGULER"     , "133010118004", "Jl. Benyamin Suaeb, Pademangan Tim., Kec. Kemayoran, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 (Halte Gambir Expo Parkir Timur)"                                                                 , "-6.1497004", "106.8496488"
"2024"        , " KOTA ADM. JAKARTA BARAT"  , "HLT202400049" , "TRANSJAKARTA", "133010118004", "Jl. St. Senen, RW.3, Senen, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10410 (Depan Ps. Senen)"                                                                               , "-6.1762433", "106.8434783"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400050" , "TRANSJAKARTA", "133010135001", "Jl. Matraman Raya RT.1/RW.6, Bali Mester, Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, 13320 (Halte Busway Kebon Pala)"                                                                                       , "-6.2128497", "106.8612291"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400051" , "TRANSJAKARTA", "133010135001", "Jl. Matraman Raya RT.4/RW.3, Palmeriam, Kec. Matraman, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13150 (Halte Busway Slamet Riyadi)"                                                     , "-6.2083358", "106.8590001"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400052" , "REGULER"     , "133010118004", "Jl. Bungur Besar Raya 9-20, RT.19/RW.3, Senen, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10610 (Halte Bangau)"                                                               , "-6.1702231", "106.8427923"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400053" , "TRANSJAKARTA", "133010135001", "Jl. Matraman Raya RT.5/RW.4, Palmeriam, Kec. Matraman, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13150 (Halte Busway Tegalan)"                                                           , "-6.2029849", "106.8573155"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400054" , "REGULER"     , "133010118004", "Jl. Bungur Raya 32, RW.1, Gn. Sahari Sel., Kec. Kemayoran, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10610 (Halte Ruko)"                                                                 , "-6.1605448", "106.8395576"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400055" , "TRANSJAKARTA", "133010135001", "Jl. Salemba Raya RT.4/RW.5, Paseban, Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10430 (Halte Busway Salemba Capitol Park Carolus)"                                                 , "-6.1968845", "106.8511221"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400056" , "REGULER"     , "133010118004", "Jl. Benyamin Suaeb, RW.5, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 (Halte Gambir Expo Pintu 2 Sebrang Halte Busway Jiexpo)"                                   , "-6.1480961", "106.8492735"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400057" , "TRANSJAKARTA", "133010135001", "Jl. Salemba Raya RT.1/RW.3, Paseban, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10430 (Halte Busway Salemba UI)"                                                              , "-6.1935802", "106.8492002"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400058" , "REGULER"     , "133010118004", "Jl. Tomang Raya, RT.1/RW.3, Jatipulo, Kec. Palmerah, Kota KOTA ADM. JAKARTA BARAT, Daerah Khusus Ibukota Jakarta 11440 (Depan CIMB)"                                                                       , "-6.175643" , "106.802308"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400059" , "TRANSJAKARTA", "133010135001", "Jl. Kramat Raya RT.1/RW.8, Kramat, Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10430 (Halte Busway Kramat Sentiong)"                                                                , "-6.18856"  , "106.8462447"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400060" , "REGULER"     , "133010118004", "Jl. Garuda 33-35, RT.9/RW.4, Gn. Sahari Sel., Kec. Kemayoran, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10610 (Halte Muhamadiyah)"                                                       , "-6.1623328", "106.8429727"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400061" , "TRANSJAKARTA", "133010118004", "Jl. Kramat Raya RT.18/RW.1, Paseban, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta (Bawah JPO Depan Plaza Kenari)"                                                               , "-6.1913672", "106.8481697"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400062" , "TRANSJAKARTA", "133010135001", "Jl. Kramat Raya RT.3/RW.4, Kramat, Senen, Kota KOTA ADM. JAKARTA PUSAT, 10420 (Halte Busway Pal Putih)"                                                                                                    , "-6.1843289", "106.8441604"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400063" , "TRANSJAKARTA", "133010135001", "Jl. Utan Kayu Raya No.109b, RW.10, Utan Kayu Utara, Kec. Matraman, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13120 (Halte Busway Utan Kayu Rawamangun)"                                  , "-6.19747"  , "106.8740662"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400064" , "REGULER"     , "133010118004", "Jl. Sultan Iskandar Muda, RT.9/RW.9, Kby. Lama Sel., Kec. Kby. Lama, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12240 (Depan Garasindo)"                                                , "-6.258294" , "106.7817331"
"2024"        , " KOTA ADM. JAKARTA UTARA"  , "HLT202400065" , "REGULER"     , "133010118001", "Lingkar Luar Timur, RT.1/RW.1, Lagoa, Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14270 (Halte Pasar Waru)"                                                                                   , "-6.1086017", "106.9148267"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400066" , "TRANSJAKARTA", "133010135001", "Jl. St. Senen RW.2, Senen, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10410 (Halte Busway Sentral Senen)"                                                                     , "-6.1785041", "106.8424214"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400067" , "TRANSJAKARTA", "133010118004", "Jl. Kramat Raya, RT.2/RW.9, Kwitang, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta (Halte YAI)"                                                                                  , "-6.1929687", "106.8490106"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400068" , "TRANSJAKARTA", "133010135001", "Jl. Budi Utomo, Ps. Baru, Kecamatan Sawah Besar, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10710 (Halte Busway Budi Utomo)"                                                              , "-6.1660272", "106.8390382"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400069" , "TRANSJAKARTA", "133010118004", "Jl. Letjen S.Parman RT.06/RW.03 Kelurahan Slipi Kecamatan Palmerah (Sebrang Mall Slipi)"                                                                                                                   , "-6.1887117", "106.7967417"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400070" , "TRANSJAKARTA", "133010135001", "Jalan Gunung Sahari, Daerah Khusus Ibukota Jakarta, Indonesia|Jalan Pos, Pasar Baru, Sawah Besar, Daerah Khusus Ibukota Jakarta (Halte Busway Pasar Baru Timur)"                                           , "-6.1625049", "106.8380419"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400071" , "REGULER"     , "133010118004", "Jl. Rawasari Sel. 29-60, RW.2, Cemp. Putih Tim., Kec. Cemp. Putih, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10570 (Depan Pasar Rawasari)"                                               , "-6.185801" , "106.8722194"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400072" , "TRANSJAKARTA", "133010135001", "Jl. Gunung Sahari Barat Pademangan, Pademangan, Utara Jakarta Kota, Jakarta (Halte Busway Gunung Sahari)"                                                                                                  , "-6.1338118", "106.8316743"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400073" , "REGULER"     , "133010118004", "Jl. Percetakan Negara RT.3/RW.5, Rawasari, Kec. Cemp. Putih, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta (Halte Sekolah)"                                                                  , "-6.1879072", "106.8643831"
