trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
JAK.08-R03,JAK.08,SH,Tanah Abang via Benhil,Roxy - Tanah Abang via Benhil,0,,s7zo,,
JAK.14-L03,JAK.14,SH,Palmerah dan Meruya,Meruya - Palmerah - Meruya,0,,4kaq,,
JAK.108-L02,JAK.108,SH,Kramat Jati dan Bambu Apus,Bambu Apus - Kramat Jati - Bambu Apus,0,,JAK.108-L02_shp,,
JAK.10-R02,JAK.10,SH,Tanah Abang,Kota - Tanah Abang,1,,JAK.10-R02_shp,,
JAK.09-L01,JAK.09,SH,Roxy dan Tanah Abang,Tanah Abang - Roxy - Tanah Abang,0,,JAK.09-L01_shp,,
JAK.27-R01,JAK.27,SH,Rorotan,Pulo Gebang - Rorotan,0,,JAK.27-R01_shp,,
JAK.27-L01,JAK.27,SH,Rorotan dan Pulogebang,Pulogebang - Rorotan - Pulogebang,0,,2o29,,
JAK.106-L03,JAK.106,SH,Term. Kampung Melayu dan Term. Klender,Term. Klender - Term. Kampung Melayu - Term. Klender,0,,zvu7,,
JAK.110A-L01,JAK.110A,SH,Term. Pulo Gebang dan Rusun Marunda,Rusun Marunda - Term. Pulo Gebang - Rusun Marunda,0,,yn04,,
JAK.112-L01,JAK.112,SH,Tanah Merah dan Pulo Gadung,Pulo Gadung - Tanah Merah - Pulo Gadung,0,,9hnv,,
JAK.115-L01,JAK.115,SH,Terminal Tj. Priok dan Pegangsaan II IGI,Pegangsaan II IGI - Terminal Tj. Priok - Pegangsaan II IGI,0,,JAK.115-L01_shp,,
JAK.45-L01,JAK.45,SH,Lebak Bulus dan Ragunan,Ragunan - Lebak Bulus - Ragunan,0,,7mjq,,
JAK.37-L01,JAK.37,SH,Cililitan dan Condet,Condet - Cililitan - Condet,1,,ac73,,
JAK.48A-L01,JAK.48A,SH,Rusun Karet Tengsin dan St. Tebet,St. Tebet - Rusun Karet Tengsin - St. Tebet,0,,ecgy,,
JAK.36-L02,JAK.36,SH,Cililitan dan Cilangkap,Cilangkap - Cililitan - Cilangkap,0,,mndf,,
JAK.113-L02,JAK.113,SH,Kampung Sawah dan Tanah Merdeka via Permai Koja,Tanah Merdeka - Kampung Sawah - Tanah Merdeka via Permai Koja,0,,hzla,,
JAK.10A-L01,JAK.10A,SH,Cikini dan Gondangdia via Salemba Raya,Gondangdia - Cikini - Gondangdia via Salemba Raya,0,,JAK.10A-L01_shp,,
JAK.10A-R02,JAK.10A,SH,Gondangdia via Salemba,Cikini - Gondangdia via Salemba,1,,JAK.10A-R02_shp,,
JAK.10B-L01,JAK.10B,SH,Cikini via Kramat dan Gondangdia,Gondangdia - Cikini via Kramat - Gondangdia,0,,JAK.10B-L01_shp,,
JAK.76-L01,JAK.76,SH,Jln. Industri Raya dan ASMI,ASMI - Jln. Industri Raya - ASMI,0,,peks,,
JAK.24-R02,JAK.24,SH,Pulo Gadung Via Kelapa Gading,Senen - Pulo Gadung Via Kelapa Gading,1,,JAK.24-R02_shp,,
JAK.95-R01,JAK.95,SH,Term. Pasar Minggu,Term. Lebak Bulus - Term. Pasar Minggu,0,,JAK.95-R01_shp,,
JAK.21-R01,JAK.21,SH,Dwikora,Cililitan - Dwikora,0,,JAK.21-R01_shp,,
JAK.95-R03,JAK.95,SH,Term. Lebak Bulus via Jln. Pejaten Raya,Term. Pasar Minggu - Term. Lebak Bulus via Jln. Pejaten Raya,1,,JAK.95-R03_shp,,
JAK.95-L02,JAK.95,SH,Term. Lebak Bulus dan Term. Pasar Minggu,Term. Pasar Minggu - Term. Lebak Bulus - Term. Pasar Minggu,1,,6pwl,,
JAK.95-L03,JAK.95,SH,Term. Lebak Bulus dan Term. Pasar Minggu,Term. Pasar Minggu - Term. Lebak Bulus - Term. Pasar Minggu,0,,2j62,,
JAK.43B-L01,JAK.43B,SH,Cililitan dan Tongtek,Tongtek - Cililitan - Tongtek,0,,qou1,,
JAK.43B-L02,JAK.43B,SH,Cililitan dan Tongtek via Cawang Kompor,Tongtek - Cililitan - Tongtek via Cawang Kompor,0,,s4fe,,
