trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
JAK.80-R01,JAK.80,SH,Rawa Kompeni,Rawa Buaya - Rawa Kompeni,0,,JAK.80-R01_shp,,
JAK.72-R01,JAK.72,SH,Pasar Rebo Via Poncol,Kampung Rambutan - Pasar Rebo Via Poncol,0,,JAK.72-R01_shp,,
JAK.99-R01,JAK.99,SH,Lampiri,Term. Pulo Gadung - Lampiri,0,,JAK.99-R01_shp,,
JAK.54-L01,JAK.54,SH,Bendungan Hilir dan Grogol,Grogol - Bendungan Hilir - Grogol,0,,u5v5,,
JAK.90-R01,JAK.90,SH,Rusun Kemayoran,Terminal Tanjung Priok - Rusun Kemayoran,0,,JAK.90-R01_shp,,
JAK.87-R01,JAK.87,SH,Term. Rawamangun,Term. Tanjung Priok - Term. Rawamangun,0,,JAK.87-R01_shp,,
JAK.76-R01,JAK.76,SH,ASMI,Jln. Industri Raya - ASMI,0,,JAK.76-R01_shp,,
JAK.74-L01,JAK.74,SH,Rawamangun dan Cipinang Muara,Cipinang Muara - Rawamangun - Cipinang Muara,0,,um65,,
JAK.106-R05,JAK.106,SH,Term. Klender,Term. Kampung Melayu - Term. Klender,1,,1yv6,,
JAK.54-R01,JAK.54,SH,Grogol,Benhil - Grogol,0,,JAK.54-R01_shp,,
JAK.01-L01,JAK.01,SH,Plumpang dan Tanjung Priok,Tanjung Priok - Plumpang - Tanjung Priok,0,,b98y,,
JAK.113-R04,JAK.113,SH,Tanah Merdeka via Permai Koja,Kampung Sawah - Tanah Merdeka via Permai Koja,1,,xopa,,
JAK.118-L02,JAK.118,SH,Kota Tua dan Taman Waduk Papanggo,Taman Waduk Papanggo - Kota Tua - Taman Waduk Papanggo,0,,ocnh,,
JAK.45-R02,JAK.45,SH,Lebak Bulus,Ragunan - Lebak Bulus,1,,JAK.45-R02_shp,,
JAK.31-R01,JAK.31,SH,Andara,Blok M - Andara,0,,JAK.31-R01_shp,,
JAK.32-L01,JAK.32,SH,Lebak Bulus dan Petukangan,Petukangan - Lebak Bulus - Petukangan,0,,8hlp,,
JAK.61-L02,JAK.61,SH,Cempaka Putih dan Pulo Gadung,Pulo Gadung - Cempaka Putih - Pulo Gadung,0,,41po,,
JAK.46-R08,JAK.46,SH,Pasar Minggu,Jagakarsa - Pasar Minggu,0,,lny7,,
